time,seconds_elapsed,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,activity,session
1772632376699201500,0.075201416015625,-0.0209663617916405,0.0814066558375954,-0.1862052931785583,0.0327978543937206,0.0011150990612804,-0.0132312551140785,standing,2026-03-04_13-52-56
1772632376709150700,0.085150634765625,-0.0648841947775334,0.0816328658089041,-0.1679465829104185,0.0592084228992462,0.0038656117394566,-0.016774857416749,standing,2026-03-04_13-52-56
1772632376719099000,0.095098876953125,-0.0438653721462935,0.0465891710869967,-0.0414957934707403,0.0640614479780197,-0.0025587207637727,-0.0180639941245317,standing,2026-03-04_13-52-56
1772632376729047800,0.1050478515625,0.0232610486000776,0.0202983994022011,0.0666390025556087,0.0520796179771423,0.0012155112344771,-0.0127437971532344,standing,2026-03-04_13-52-56
1772632376738995700,0.11499560546875,0.0277906548537313,-0.0167987207181751,0.1729372308045625,0.0320177674293518,0.0074918121099472,-0.0156338736414909,standing,2026-03-04_13-52-56
1772632376748944600,0.124944580078125,0.0044637379432097,-0.0554988921210169,0.2393628828704357,-0.0014555058442056,-0.0038804186042398,-0.0254992879927158,standing,2026-03-04_13-52-56
1772632376758892800,0.134892822265625,-0.0101554102461785,-0.0891794817961752,0.2526005501061678,-0.0328104421496391,-0.0133851049467921,-0.0358188785612583,standing,2026-03-04_13-52-56
1772632376768841700,0.144841796875,-0.0083933324771001,-0.0831419551976025,0.2200385891973972,-0.0555365271866321,-0.0197162367403507,-0.0412298887968063,standing,2026-03-04_13-52-56
1772632376778789600,0.15478955078125,-0.0036670346075668,-0.025654957999289,0.07855389675498,-0.0659721791744232,-0.0179375857114791,-0.0391873642802238,standing,2026-03-04_13-52-56
1772632376788738800,0.16473876953125,-0.0038559082431718,0.02887012065351,-0.0820084211230278,-0.0537645146250724,0.0032052500173449,-0.0323150753974914,standing,2026-03-04_13-52-56
1772632376798686700,0.174686767578125,-0.0164835172891616,0.1169176758103072,-0.2236024191588163,-0.0323043279349803,0.0258982721716165,-0.0188875216990709,standing,2026-03-04_13-52-56
1772632376808635600,0.1846357421875,-0.0300897621089592,0.1502029825575649,-0.2217366252869367,-0.0082732951268553,0.0233094133436679,-0.010512413457036,standing,2026-03-04_13-52-56
1772632376818583800,0.194583740234375,0.0166251907821744,0.1047398928910493,-0.1964811879992485,0.0176559314131736,0.0131507804617285,-0.0065259784460067,standing,2026-03-04_13-52-56
1772632376828532700,0.20453271484375,0.0490975737113505,0.0918254662603139,-0.1656955891132354,0.0408187732100486,0.0196992270648479,0.0028882957994937,standing,2026-03-04_13-52-56
1772632376838480600,0.214480712890625,0.0117074619937688,0.1216897125177085,-0.0932481925398111,0.0532821454107761,0.0138515653088688,0.0056379162706434,standing,2026-03-04_13-52-56
1772632376848429600,0.2244296875,0.0041545258635655,0.0720971218310296,0.0314110373079776,0.0519258007407188,-0.006658237427473,0.0002338297199457,standing,2026-03-04_13-52-56
1772632376858377700,0.234377685546875,0.0228170676922425,0.0058000645808875,0.1295341424077749,0.0393225438892841,-0.0113358478993177,-0.0031825080513954,standing,2026-03-04_13-52-56
1772632376868326700,0.24432666015625,-0.0056075742160901,0.0154712715066969,0.166591661170125,0.0193483047187328,-0.0044979150407016,-0.0019159086514264,standing,2026-03-04_13-52-56
1772632376878274600,0.254274658203125,-0.0427482777498662,0.033221301600337,0.2257774251103401,-0.0073012332431972,-0.0097297560423612,-0.0121320756152272,standing,2026-03-04_13-52-56
1772632376888223700,0.2642236328125,-0.0827788209736347,-0.0384299761593341,0.2368693124890327,-0.0293735135346651,-0.0156936384737491,-0.0284926742315292,standing,2026-03-04_13-52-56
1772632376898171600,0.274171630859375,-0.0760171082863584,-0.0653925096258521,0.1583317823469638,-0.0429755747318267,-0.002334380056709,-0.0317264162003994,standing,2026-03-04_13-52-56
1772632376908120600,0.28412060546875,-0.0751176752286031,-0.0017797230236232,0.0656494069963693,-0.0478550195693969,0.0103409346193075,-0.0296760499477386,standing,2026-03-04_13-52-56
