time,seconds_elapsed,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,activity,session
1772632657125162200,0.070162353515625,0.0135894763480871,-0.0288530233882367,0.6125771868258715,-0.0656775832176208,0.0996222347021102,-0.041140753775835,standing,2026-03-04_13-57-37
1772632657135110400,0.0801103515625,-0.002587166948989,-0.0947957142427563,0.5758510919749736,-0.1414896696805954,0.1118658557534217,-0.0405424647033214,standing,2026-03-04_13-57-37
1772632657145059300,0.090059326171875,-0.169297705258429,-0.2325856438204646,0.4681301374465227,-0.1821470856666565,0.0984065011143684,-0.0660417005419731,standing,2026-03-04_13-57-37
1772632657155008300,0.10000830078125,-0.298724076442793,-0.3542329785011708,0.3099403939187526,-0.1972493678331375,0.0684338212013244,-0.1036294475197792,standing,2026-03-04_13-57-37
1772632657164957200,0.109957275390625,-0.3079414751864969,-0.3660419281080365,0.1621568935930729,-0.1967942267656326,0.0180654544383287,-0.1285297274589538,standing,2026-03-04_13-57-37
1772632657174905300,0.1199052734375,-0.2225924383986741,-0.2575824301719665,0.0197638541340827,-0.1803247481584549,-0.0387494936585426,-0.1373042613267898,standing,2026-03-04_13-57-37
1772632657184854300,0.129854248046875,-0.0875467660278081,-0.0939949192538857,-0.1344821202039718,-0.1573917418718338,-0.0761101767420768,-0.1428271234035492,standing,2026-03-04_13-57-37
1772632657194803500,0.139803466796875,-0.094121541308239,0.0178410693779587,-0.3011339871287345,-0.1253773272037506,-0.0701637342572212,-0.1634925752878189,standing,2026-03-04_13-57-37
1772632657204752400,0.14975244140625,-0.2678951498717069,0.0519322856806218,-0.5052238965660333,-0.084064245223999,-0.0144597301259636,-0.1872841864824295,standing,2026-03-04_13-57-37
1772632657214701300,0.159701416015625,-0.3668444035973399,0.1532376740783453,-0.6304185484647751,-0.0475926212966442,0.0707804635167121,-0.20219087600708,standing,2026-03-04_13-57-37
1772632657224649500,0.1696494140625,-0.3233688344862312,0.2463458736255764,-0.5995891104370356,-0.0265413969755172,0.1460834741592407,-0.1948184520006179,standing,2026-03-04_13-57-37
1772632657234598400,0.179598388671875,-0.2019819773726165,0.3022989392548799,-0.4275923753529786,-0.0194782093167305,0.1763654798269271,-0.1780919730663299,standing,2026-03-04_13-57-37
1772632657244547300,0.18954736328125,-0.041733109357953,0.333783918581903,-0.1664829400986432,-0.0221895761787891,0.1557123959064483,-0.1484510004520416,standing,2026-03-04_13-57-37
1772632657254496300,0.199496337890625,0.1066250490505248,0.3584425590202212,0.0377682973802089,-0.0232927724719047,0.1144569739699363,-0.1128120794892311,standing,2026-03-04_13-57-37
1772632657264445200,0.209445068359375,0.2075021290335804,0.3477444932647049,0.111969259622693,-0.0098560582846403,0.0743518993258476,-0.0898545607924461,standing,2026-03-04_13-57-37
1772632657274393300,0.219393310546875,0.1514125775430351,0.333770766839385,0.0901180778205394,0.0150796212255954,0.0519607029855251,-0.0790187790989875,standing,2026-03-04_13-57-37
1772632657284342300,0.22934228515625,0.065649991518259,0.3571285538122057,0.0706494072407484,0.0398249141871929,0.0335745029151439,-0.0749627873301506,standing,2026-03-04_13-57-37
1772632657294291500,0.23929150390625,0.0120316524468362,0.3370142788052558,0.1502794087946415,0.0564367957413196,0.0172936711460351,-0.0735388398170471,standing,2026-03-04_13-57-37
1772632657304240400,0.249240478515625,0.0041546354614198,0.2693079392790794,0.2622188578009605,0.0629564821720123,-0.001580418087542,-0.0770022794604301,standing,2026-03-04_13-57-37
1772632657314189300,0.259189208984375,-0.0002213146004825,0.2389908346876502,0.4339531425565481,0.0574226975440979,-0.0355465076863765,-0.0846826657652854,standing,2026-03-04_13-57-37
1772632657324137500,0.269137451171875,-0.0109684071294963,0.1556055722534656,0.5646019682079553,0.0510854385793209,-0.0856560170650482,-0.0995662733912468,standing,2026-03-04_13-57-37
1772632657334086400,0.27908642578125,0.0248197492841631,0.0909499986000359,0.5168406846016645,0.0443226359784603,-0.109395831823349,-0.110426552593708,standing,2026-03-04_13-57-37
1772632657344035300,0.289035400390625,0.0142176181837916,0.1213802081771194,0.415111079442501,0.0285490024834871,-0.0954121053218841,-0.1187489330768585,standing,2026-03-04_13-57-37
1772632657353984300,0.298984375,-0.0635634675677865,0.1757601792708039,0.3282143017560243,-0.0005740453489124,-0.0574119910597801,-0.1080151051282882,standing,2026-03-04_13-57-37
1772632657363932400,0.308932373046875,0.0413859033554792,0.1969311237238347,0.3785784613370895,-0.0377325974404811,-0.0419307686388492,-0.0741849690675735,standing,2026-03-04_13-57-37
1772632657373881300,0.31888134765625,0.2154074953306466,0.1832879444271326,0.4165688770353793,-0.0755834132432937,-0.0503542199730873,-0.036001019179821,standing,2026-03-04_13-57-37
1772632657383830300,0.328830322265625,0.3206384596742689,0.1245778351746499,0.4268780896037816,-0.1078875586390495,-0.0716086402535438,-0.0038715784903615,standing,2026-03-04_13-57-37
1772632657393779200,0.338779296875,0.3428491224385798,0.0935693873181939,0.4139829521954059,-0.1242686063051223,-0.1054085493087768,0.0251162704080343,standing,2026-03-04_13-57-37
1772632657403728400,0.348728271484375,0.330795112029463,0.0516644285246729,0.2816319988012313,-0.1147677823901176,-0.1227244213223457,0.0494610257446765,standing,2026-03-04_13-57-37
1772632657413676500,0.358676513671875,0.2432647126145661,0.033432021741569,0.0884229643404483,-0.0967266038060188,-0.1332694590091705,0.053334467113018,standing,2026-03-04_13-57-37
1772632657423625500,0.36862548828125,0.0905460939742624,0.0182658706612885,-0.0399105701059103,-0.0692696794867515,-0.1516308933496475,0.0429526641964912,standing,2026-03-04_13-57-37
1772632657433574400,0.378574462890625,-0.0174014358516782,-0.0705479926928877,-0.1342354519665241,-0.0410448461771011,-0.1598902940750122,0.0261571481823921,standing,2026-03-04_13-57-37
1772632657443523300,0.3885234375,-0.0775709501322358,-0.0925511501863598,-0.2108347075223922,-0.0144800804555416,-0.153027594089508,0.0087195672094821,standing,2026-03-04_13-57-37
1772632657453472300,0.39847216796875,-0.1107738392930477,-0.0809860923379659,-0.2656388953775167,0.000430007930845,-0.1503674983978271,-0.0143420342355966,standing,2026-03-04_13-57-37
1772632657463420400,0.40842041015625,-0.1903151396501809,-0.0981562767170369,-0.283038942989707,0.0077699460089206,-0.1525853872299194,-0.0408982783555984,standing,2026-03-04_13-57-37
