time,seconds_elapsed,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,activity,session
1772632818894194400,0.0601943359375,-0.2241888407446444,-0.0734036743849515,-0.2207534594684839,0.0246680900454521,-0.0259557180106639,-0.0721211209893226,walking,2026-03-04_14-00-18
1772632818904143400,0.070143310546875,-0.2462042001325637,-0.0641107992522418,-0.172969964030385,0.0537437237799167,-0.0432615876197814,-0.0838262736797332,walking,2026-03-04_14-00-18
1772632818914092300,0.08009228515625,-0.2418456395968794,-0.0681641662962734,-0.1059878471255302,0.0686433091759681,-0.0558426268398761,-0.0950216650962829,walking,2026-03-04_14-00-18
1772632818924042500,0.09004248046875,-0.2472919953692704,-0.0843953162595629,0.028126024287939,0.0621136501431465,-0.0468641817569732,-0.1094495803117752,walking,2026-03-04_14-00-18
1772632818933991400,0.099991455078125,-0.2799211032301187,-0.0899954743541777,0.1272276190310716,0.0405002310872077,-0.0370842553675174,-0.1236421018838882,walking,2026-03-04_14-00-18
1772632818943940400,0.1099404296875,-0.261035127909109,-0.0703970399148762,0.2163981868684291,0.0118402540683746,-0.028594447299838,-0.1303142458200454,walking,2026-03-04_14-00-18
1772632818953889300,0.11988916015625,-0.1901020814213901,-0.0358973889417946,0.224427179545164,-0.0153170637786388,-0.0134999155998229,-0.1227641850709915,walking,2026-03-04_14-00-18
1772632818963838500,0.12983837890625,-0.1442247118655592,0.028713468787074,0.1582552099794149,-0.0289865676313638,0.0097117191180586,-0.1115676090121269,walking,2026-03-04_14-00-18
1772632818973787400,0.139787353515625,-0.1230146044459193,0.0951046340614557,0.0710685094356536,-0.0301812607795,0.029642816632986,-0.0997692719101905,walking,2026-03-04_14-00-18
1772632818983737300,0.1497373046875,-0.1250319356177002,0.1016359355263411,-0.013636895686388,-0.0182358548045158,0.0370020233094692,-0.094208188354969,walking,2026-03-04_14-00-18
1772632818993686500,0.1596865234375,-0.1400785519715398,0.1053495492219924,-0.0769563984304666,0.0003348998725414,0.0350017249584198,-0.0927218794822692,walking,2026-03-04_14-00-18
1772632819003635500,0.169635498046875,-0.1145833145786076,0.1161962296679615,-0.0804284584552049,0.0133214090019464,0.016088968142867,-0.0861803889274597,walking,2026-03-04_14-00-18
1772632819013584400,0.17958447265625,-0.0969650211058557,0.1214060732707381,-0.0333674320727586,0.0189713053405284,0.0037875603884458,-0.0774851739406585,walking,2026-03-04_14-00-18
1772632819023533300,0.189533203125,-0.1202478431463241,0.1102871517546474,0.0329693726658821,0.0216720178723335,0.0039976839907467,-0.0714445933699607,walking,2026-03-04_14-00-18
1772632819033482200,0.199482177734375,-0.1612183706339448,0.0842759276635944,0.0918628756612539,0.0156972147524356,0.0010567554272711,-0.0694821029901504,walking,2026-03-04_14-00-18
1772632819043432400,0.209432373046875,-0.137076959002763,0.0518916614092886,0.1456207693338394,0.01500347815454,-0.0010494631715118,-0.0646823048591613,walking,2026-03-04_14-00-18
1772632819053381400,0.21938134765625,-0.1128148436013609,0.0101591365732252,0.1672586006462574,0.0123339258134365,-0.0076967133209109,-0.0666162893176078,walking,2026-03-04_14-00-18
1772632819063330300,0.229330322265625,-0.139010119022429,-0.0083453651495277,0.2193365784078836,0.0038684799801558,-0.029758833348751,-0.0738067999482154,walking,2026-03-04_14-00-18
1772632819073279500,0.239279541015625,-0.153581372949481,-0.0163999306589365,0.3071761899024248,-0.0078100143000483,-0.0628273040056228,-0.081003725528717,walking,2026-03-04_14-00-18
1772632819083228400,0.249228515625,-0.1412581171449273,-0.0306461904153227,0.3087029610782861,-0.0193763114511966,-0.0866594687104225,-0.0895110443234443,walking,2026-03-04_14-00-18
1772632819093177300,0.25917724609375,-0.1507381854128092,-0.0231793616659939,0.2499544195115566,-0.0275625996291637,-0.1045662984251976,-0.087912879884243,walking,2026-03-04_14-00-18
1772632819103127600,0.26912744140625,-0.1343780022423714,0.0324741364948451,0.1907201402544975,-0.0323415733873844,-0.1169613599777221,-0.0809108316898346,walking,2026-03-04_14-00-18
1772632819113076500,0.279076416015625,-0.1559454717323184,0.0446656556785106,0.0673953738808631,-0.0258634313941001,-0.1011219397187233,-0.0845601633191108,walking,2026-03-04_14-00-18
1772632819123025400,0.289025390625,-0.1920091571517288,0.0601791588917374,-0.0736801532387733,-0.0079889204353094,-0.0765528529882431,-0.0837133303284645,walking,2026-03-04_14-00-18
1772632819132974300,0.298974365234375,-0.1954602474536746,0.0769343327291309,-0.1935889736890792,0.020813699811697,-0.075270801782608,-0.073238581418991,walking,2026-03-04_14-00-18
1772632819142923300,0.30892333984375,-0.1101427017826586,0.0861938901141285,-0.2113642843544483,0.0499614626169204,-0.078573927283287,-0.0654291287064552,walking,2026-03-04_14-00-18
1772632819152872400,0.31887255859375,-0.0526361231010407,0.0423731608271598,-0.1721025335460901,0.072610855102539,-0.0831151455640792,-0.0617915242910385,walking,2026-03-04_14-00-18
1772632819162821400,0.3288212890625,-0.0502592379018664,0.0163828333936631,-0.0967453870058059,0.0819876715540885,-0.0885254591703414,-0.0523484237492084,walking,2026-03-04_14-00-18
1772632819172771300,0.338771240234375,-0.0663426499575376,0.020846973195672,-0.005578092393279,0.0872391536831855,-0.100950963795185,-0.0490253306925296,walking,2026-03-04_14-00-18
1772632819182720500,0.348720458984375,-0.0418473103221505,-0.0199707748830318,0.0828822813481092,0.0790754184126854,-0.1178628206253051,-0.0504498481750488,walking,2026-03-04_14-00-18
1772632819192669400,0.35866943359375,-0.079042557054758,-0.0659207712836563,0.1623316656380891,0.0707802027463913,-0.1349723041057586,-0.0584020465612411,walking,2026-03-04_14-00-18
1772632819202618400,0.368618408203125,-0.0852258487995713,-0.0979847195424139,0.2107283245384693,0.0606248937547206,-0.1359609961509704,-0.0679369941353797,walking,2026-03-04_14-00-18
1772632819212567300,0.3785673828125,-0.0855714473668485,-0.1072580131918191,0.1985702692329883,0.0465953610837459,-0.1401544064283371,-0.0842781439423561,walking,2026-03-04_14-00-18
1772632819222516200,0.38851611328125,-0.1105714485887437,-0.1113498125500977,0.1800163754105568,0.0376220270991325,-0.1256442666053772,-0.0940150022506713,walking,2026-03-04_14-00-18
1772632819232466400,0.398466552734375,-0.1120754964761436,-0.1220022855982184,0.1117126545131206,0.0251248776912689,-0.0777289420366287,-0.1081872805953025,walking,2026-03-04_14-00-18
1772632819242415400,0.408415283203125,-0.1191392973825335,-0.1127092643350362,0.0771563049167394,0.0001007518731057,-0.0329569391906261,-0.1200263649225235,walking,2026-03-04_14-00-18
1772632819252364300,0.4183642578125,-0.1450901695884764,-0.0827639156654477,0.1441512813031673,-0.0315655656158924,-0.0033276753965765,-0.1266246140003204,walking,2026-03-04_14-00-18
1772632819262313500,0.4283134765625,-0.060498892365396,-0.1336594056442379,0.2401835516035556,-0.067980483174324,0.0136057753115892,-0.1396587938070297,walking,2026-03-04_14-00-18
1772632819272262400,0.438262451171875,-0.0642330373924225,-0.1265941434331238,0.2514239075422287,-0.096578299999237,0.0207563620060682,-0.1494341939687729,walking,2026-03-04_14-00-18
1772632819282211300,0.44821142578125,-0.0486542138580232,-0.0832367938742041,0.2162918038845062,-0.1082805842161178,0.0245923716574907,-0.154415488243103,walking,2026-03-04_14-00-18
1772632819292161500,0.45816162109375,-0.0161116152368485,-0.0658037207752466,0.1416845989286899,-0.1057042405009269,0.0289724711328744,-0.1558602601289749,walking,2026-03-04_14-00-18
1772632819302110500,0.4681103515625,0.0238997848950326,-0.0245513806715607,0.0492208347648382,-0.0900138616561889,0.0291761066764593,-0.1557733714580536,walking,2026-03-04_14-00-18
1772632819312059400,0.478059326171875,0.083066917200014,-0.0085405954606831,-0.0024684359401464,-0.0677530318498611,0.0305116828531026,-0.1492576897144317,walking,2026-03-04_14-00-18
1772632819322008300,0.48800830078125,0.1703638001199811,0.0149272277578711,0.0168307232916355,-0.0466952808201313,0.0257602836936712,-0.1285527199506759,walking,2026-03-04_14-00-18
1772632819331957200,0.497957275390625,0.243326379673928,-0.0035877953588962,0.1030909566402435,-0.0348127894103527,0.0179782602936029,-0.1094706356525421,walking,2026-03-04_14-00-18
1772632819341906400,0.507906494140625,0.2572510793257505,-0.0667594140648841,0.1921481272310018,-0.0360897779464721,0.010854304768145,-0.1025338992476463,walking,2026-03-04_14-00-18
1772632819351856400,0.5178564453125,0.2526635323397815,-0.1495642462626099,0.3293196326494216,-0.0532514527440071,0.0040065185166895,-0.1040068939328193,walking,2026-03-04_14-00-18
1772632819361805300,0.527805419921875,0.208411060572043,-0.2341679445758462,0.4409194744378328,-0.069309115409851,-0.0007801942992955,-0.1122807636857032,walking,2026-03-04_14-00-18
1772632819371754500,0.53775439453125,0.216644562844932,-0.2931874120384454,0.4752051903992891,-0.0814816355705261,-0.0184638500213623,-0.1175074875354766,walking,2026-03-04_14-00-18
1772632819381703400,0.547703369140625,0.2164148457422852,-0.3195226073868572,0.4664075514376163,-0.0894562825560569,-0.0314212851226329,-0.1283298432826995,walking,2026-03-04_14-00-18
1772632819391652400,0.55765234375,0.227213230067119,-0.3703817108780145,0.4060854769438505,-0.0915189012885093,-0.0326676443219184,-0.1423942595720291,walking,2026-03-04_14-00-18
1772632819401601300,0.567601318359375,0.2352181842811405,-0.4065883118994534,0.3601712825089693,-0.1098274961113929,-0.0426191762089729,-0.1557984203100204,walking,2026-03-04_14-00-18
1772632819411551500,0.577551513671875,0.2579230603031814,-0.4252570642732083,0.3593617196917533,-0.1382969617843628,-0.0623675808310508,-0.1636896431446075,walking,2026-03-04_14-00-18
1772632819421500400,0.58750048828125,0.2583595520243048,-0.4496878873050212,0.3400584688067436,-0.1709433197975158,-0.0812764018774032,-0.1750654131174087,walking,2026-03-04_14-00-18
1772632819431449300,0.597449462890625,0.2552905198425054,-0.4767712706722319,0.2192284418582916,-0.1942371875047683,-0.0839446187019348,-0.1814431399106979,walking,2026-03-04_14-00-18
1772632819441398300,0.607398193359375,0.2381103985913097,-0.4675611053869128,0.0049058922201395,-0.205266997218132,-0.0667304918169975,-0.1870550364255905,walking,2026-03-04_14-00-18
1772632819451347500,0.617347412109375,0.189271987272799,-0.4358570764817297,-0.2434942835867404,-0.2092963606119156,-0.0411082245409488,-0.1899477690458297,walking,2026-03-04_14-00-18
1772632819461296400,0.62729638671875,0.1379053726509213,-0.4199146803319454,-0.4189087181597948,-0.2170660942792892,-0.0030794069170951,-0.1892576515674591,walking,2026-03-04_14-00-18
1772632819471246600,0.63724658203125,0.1361913352746516,-0.4032273110337555,-0.4197591975092887,-0.2119890451431274,0.0063188881613314,-0.1847798228263855,walking,2026-03-04_14-00-18
1772632819481195500,0.647195556640625,0.0829440214727073,-0.38745501075387,-0.5569686968505382,-0.1824262142181396,0.0385639630258083,-0.1847483515739441,walking,2026-03-04_14-00-18
1772632819491144400,0.65714453125,0.0197485834997147,-0.3622644553959369,-0.6580535743653774,-0.1379969716072082,0.0612394511699676,-0.1861869990825653,walking,2026-03-04_14-00-18
1772632819501093400,0.66709326171875,0.0280919028226286,-0.3351340180166065,-0.6733300539523362,-0.0916969999670982,0.0696225240826606,-0.1683536022901535,walking,2026-03-04_14-00-18
1772632819511042300,0.677042236328125,0.1587930431831627,-0.3456557042919099,-0.6133242058008909,-0.0302749183028936,0.0885623916983604,-0.1381192803382873,walking,2026-03-04_14-00-18
1772632819520991200,0.6869912109375,0.2396058978460729,-0.3305532660976052,-0.5559013598799705,0.0267755426466465,0.1004798859357833,-0.1081080958247184,walking,2026-03-04_14-00-18
1772632819530941400,0.69694140625,0.2434983752399682,-0.3481130343161523,-0.3494827152341604,0.0618267394602298,0.0710610076785087,-0.0896207019686698,walking,2026-03-04_14-00-18
1772632819540890400,0.706890380859375,0.2063301626447588,-0.4339204093307256,-0.0067886372268199,0.0668781623244285,0.0071644652634859,-0.0897979512810707,walking,2026-03-04_14-00-18
1772632819550839600,0.716839599609375,0.1519724764481186,-0.5704438261039555,0.2926671875566244,0.0558095350861549,-0.0586821921169757,-0.1121027246117591,walking,2026-03-04_14-00-18
1772632819560788500,0.72678857421875,0.0313596724469214,-0.6383927422143518,0.4612205041885375,0.0301677975803613,-0.1064694970846176,-0.1439498662948608,walking,2026-03-04_14-00-18
1772632819570737400,0.7367373046875,-0.0953919265702366,-0.628935908691585,0.4434411018699407,0.0075389184057712,-0.1052050292491912,-0.176179438829422,walking,2026-03-04_14-00-18
1772632819580686300,0.746686279296875,-0.173425379647687,-0.5436282998926937,0.3234878577560186,0.0011593038216233,-0.0645558387041091,-0.1977799832820892,walking,2026-03-04_14-00-18
1772632819590636500,0.756636474609375,-0.1728849891606718,-0.4556999872013926,0.1688397323578596,-0.0020825620740652,-0.0279592145234346,-0.2095892280340194,walking,2026-03-04_14-00-18
1772632819600585500,0.76658544921875,-0.090094696944952,-0.3622835984878241,0.0828846194356679,0.0064747431315481,0.0028983470983803,-0.2064334899187088,walking,2026-03-04_14-00-18
1772632819610534400,0.776534423828125,0.0212820036120712,-0.2730152693644165,0.0806394708573818,0.0201087966561317,0.0156445018947124,-0.1986695826053619,walking,2026-03-04_14-00-18
1772632819620483300,0.7864833984375,0.085845734263584,-0.2139373497128486,0.1572732132047414,0.0264900382608175,-0.0048952419310808,-0.191409021615982,walking,2026-03-04_14-00-18
1772632819630432300,0.796432373046875,0.1044940283711999,-0.1893966365657746,0.2899550059884786,0.0230076871812343,-0.0426386259496212,-0.1940199881792068,walking,2026-03-04_14-00-18
1772632819640381400,0.80638134765625,0.0929592925958335,-0.2318617134600877,0.4016881187677383,0.0090901758521795,-0.0808262303471565,-0.2059886306524276,walking,2026-03-04_14-00-18
1772632819650331400,0.816331298828125,0.0224271550592035,-0.2814211325295269,0.474918190151453,-0.0130356326699256,-0.1023341864347457,-0.2238762974739074,walking,2026-03-04_14-00-18
1772632819660280600,0.826280517578125,-0.0456622655004262,-0.3089478757500648,0.4655173245996236,-0.0389925353229045,-0.1030386760830879,-0.2444181740283966,walking,2026-03-04_14-00-18
1772632819670229500,0.8362294921875,-0.0764274061203002,-0.3141214789956807,0.4397229581296443,-0.0675586685538292,-0.0952510610222816,-0.2651410400867462,walking,2026-03-04_14-00-18
1772632819680178400,0.846178466796875,-0.0515937013760209,-0.3537470946803688,0.4292424806475639,-0.0965038686990737,-0.0835881233215332,-0.2817475795745849,walking,2026-03-04_14-00-18
1772632819690127400,0.85612744140625,0.0262958862513303,-0.3556840540923178,0.3949304612010717,-0.1166371032595634,-0.0749099478125572,-0.2804428935050964,walking,2026-03-04_14-00-18
1772632819700076300,0.866076171875,0.1697876807324588,-0.3265796862915158,0.3397106782823801,-0.1272086501121521,-0.0772966146469116,-0.2632614970207214,walking,2026-03-04_14-00-18
1772632819710026200,0.876026123046875,0.2839944901488721,-0.2977427372552454,0.2672404853552579,-0.1280126571655273,-0.0891335681080818,-0.2390794456005096,walking,2026-03-04_14-00-18
