acc_x_mean,acc_x_std,acc_x_var,acc_x_rms,acc_x_min,acc_x_max,acc_x_range,acc_x_dom_freq,acc_x_spec_eng,acc_y_mean,acc_y_std,acc_y_var,acc_y_rms,acc_y_min,acc_y_max,acc_y_range,acc_y_dom_freq,acc_y_spec_eng,acc_z_mean,acc_z_std,acc_z_var,acc_z_rms,acc_z_min,acc_z_max,acc_z_range,acc_z_dom_freq,acc_z_spec_eng,gyr_x_mean,gyr_x_std,gyr_x_var,gyr_x_rms,gyr_x_min,gyr_x_max,gyr_x_range,gyr_x_dom_freq,gyr_x_spec_eng,gyr_y_mean,gyr_y_std,gyr_y_var,gyr_y_rms,gyr_y_min,gyr_y_max,gyr_y_range,gyr_y_dom_freq,gyr_y_spec_eng,gyr_z_mean,gyr_z_std,gyr_z_var,gyr_z_rms,gyr_z_min,gyr_z_max,gyr_z_range,gyr_z_dom_freq,gyr_z_spec_eng,acc_sma,gyr_sma,corr_acc_xy,corr_acc_xz,corr_acc_yz,corr_gyr_xy,corr_gyr_xz,corr_gyr_yz,acc_mag_mean,acc_mag_std,acc_mag_dom_freq,gyr_mag_mean,gyr_mag_std,activity,session,window_id,time_start,time_end
-0.027802474935737585,-0.6632071186641977,-0.34391621490054886,-0.6673423954670896,0.7261686117099155,-0.5514905565142245,-0.6515244487771705,2.0488641514546653,-0.3439162149005489,-0.04889079675190771,-0.8693255816495593,-0.5376312226740686,-0.8629899221282028,0.7316880680826825,-0.7379509195304087,-0.7659254732354597,2.356545536547307,-0.5376312226740686,-0.15244477576524257,-0.5680556995789461,-0.4245518121887041,-0.562365305354395,0.6527167734657359,-0.5170201918215621,-0.5626398435118513,-0.7783189116451151,-0.42455181218870397,-0.023635142999482998,-0.7677629573867172,-0.47190647470946134,-0.7703018130934634,0.6764473725696498,-0.7583463413490178,-0.7360818574837626,0.6150789450628226,-0.47190647470946134,0.05789636671903646,-0.6437481039602784,-0.40561106716036444,-0.6446523893687968,0.5883001098656347,-0.6051736066243253,-0.615357423718171,-0.711367685009969,-0.40561106716036455,-0.006471802395248417,-0.8185631826871479,-0.4915128856589565,-0.8462642843266927,0.7520092130771149,-0.7554428687357353,-0.7890363420176432,0.13794612340072113,-0.4915128856589565,-0.6546066026742613,-0.7711661122460228,-1.0959155616543739,0.05822559368172348,0.4080771766392904,-0.3608834849085751,-1.2803504594182433,-0.3382519748920522,-0.6312197013234078,-0.5586851884270129,-0.513972243009004,-0.7740229733269447,-0.6887769341969506,still,Still_1-2026-03-04_16-41-47,0,0.25332275390625,2.164378173828125
-0.02739641003183992,-0.6727270453717126,-0.34396057727681656,-0.6743667488931654,0.7544124632146788,-0.5666718519511665,-0.6728987521824743,0.9689434292053428,-0.34396057727681656,-0.04982935770329877,-0.8732915468253539,-0.5376506600669652,-0.8662563155064777,0.7379899161119746,-0.7477639732374614,-0.7744893889577267,2.0103631934329473,-0.5376506600669652,-0.130543314264952,-0.5682477758466271,-0.42455200366877677,-0.5640966188471012,0.6542000284068732,-0.5167622548457362,-0.5629088767304299,-0.7783189116451151,-0.42455200366877666,-0.025704682511792382,-0.7677468128856405,-0.47190644963787676,-0.7703064715200084,0.6764473725696498,-0.7573807346336344,-0.7355918695988507,3.3808915002419946,-0.47190644963787676,0.05814278042723834,-0.6438726901722387,-0.4056112188461233,-0.6447863594688759,0.5890481717865562,-0.6051736066243253,-0.6157360777037126,-0.5199543611817699,-0.40561121884612344,-0.006629402128043861,-0.8183490594261872,-0.49151250371247013,-0.8460512970953864,0.7520092130771149,-0.7554428687357353,-0.7890363420176432,3.747203149189636,-0.4915125037124702,-0.6573871207678486,-0.7711661122489104,-0.7026860944966644,0.13896110559942013,0.11052174564446693,-0.3102298439559075,-0.9623967677893672,-0.5528484591984221,-0.6338405850371425,-0.560127515561377,-0.513972243009004,-0.7740334536704806,-0.6887492516224929,still,Still_1-2026-03-04_16-41-47,1,1.2185029296875,3.129556396484375
-0.023307022492700728,-0.672781263879105,-0.3439607075934761,-0.675694806567019,0.7542905527266762,-0.5666718519511665,-0.6728479545605625,2.0488641514546653,-0.3439607075934761,-0.05078701119949575,-0.8741306067174324,-0.5376535499542496,-0.867104649705934,0.7399217277063512,-0.7480509132088976,-0.7755662514233695,2.0103631934329473,-0.5376535499542496,-0.1229674684693044,-0.5686462313721997,-0.4245523254684484,-0.5647530170433688,0.6550665453267476,-0.5167622548457362,-0.5631722149800192,-0.7783189116451151,-0.4245523254684483,-0.027774221954499346,-0.7677100792713926,-0.4719063920172101,-0.7702374468662323,0.6764473725696498,-0.7573807346336344,-0.7355918695988507,3.3808915002419946,-0.47190639201721,0.06103814133228914,-0.6437721765140307,-0.4056110971615888,-0.6447802381452402,0.5890481717865562,-0.6042716391688248,-0.6152627601135399,-1.0941943326663672,-0.4056110971615889,-0.00700370139957251,-0.8184731009904966,-0.49151272825316644,-0.8461532232106939,0.7520092130771149,-0.7554428687357353,-0.7890363420176432,3.4088353030219256,-0.49151272825316644,-0.6584309622864898,-0.7711863148065151,-0.6583214494861107,0.13920722996409396,-0.05971656700603362,0.2504550255077876,-1.3898613751436195,-0.5274075345290339,-0.6346646846499137,-0.5606991987852145,3.3690195445345315,-0.7740670807779065,-0.6885928586942982,still,Still_1-2026-03-04_16-41-47,2,2.183681884765625,4.094734375
-0.021408115113040204,-0.673036207636728,-0.34396130178663986,-0.6764179051024947,0.7542905527266762,-0.5668483170862926,-0.6729596093875733,2.0488641514546653,-0.34396130178663975,-0.04924363705917392,-0.8733596378413243,-0.5376509105022863,-0.8661384460151578,0.740289865262917,-0.74706003820545,-0.7751765417541229,2.0103631934329473,-0.5376509105022864,-0.13304369861364032,-0.5685672726657199,-0.4245522697858417,-0.5639563349618602,0.654513378763061,-0.5168898420765394,-0.5630939992666865,-0.7783189116451151,-0.42455226978584165,-0.026191632927957287,-0.7676938838788253,-0.47190636635911526,-0.7702511085761519,0.6773909616640706,-0.7583463413490178,-0.7365718453686747,1.6906727165213895,-0.47190636635911526,0.062147002983976955,-0.6438679682782845,-0.40561121325912514,-0.6448491494580082,0.5892351873380693,-0.6042716391688248,-0.6153574236460072,1.3941788771002217,-0.40561121325912525,-0.005171604757371004,-0.8186539338793357,-0.49151303941856384,-0.8463559543500029,0.7533116526062635,-0.7537638412986786,-0.7888632766112514,4.987885251804576,-0.4915130394185639,-0.6577627551249292,-0.7712039920406893,-0.9633820821801606,-0.2378396970342507,0.39882404161700785,-0.1936131396291466,-1.724545027241826,-1.1305463053411602,-0.6337637224293694,-0.560650320146792,-0.513972243009004,-0.7741044026925045,-0.6888557886830978,still,Still_1-2026-03-04_16-41-47,3,3.14885986328125,5.059911865234375
-0.01839940735350856,-0.6730730804984438,-0.34396138518969466,-0.6772544890654763,0.7548606553747683,-0.5666123646326122,-0.6730478653185936,2.0488641514546653,-0.34396138518969466,-0.04836500599433953,-0.8736802142813179,-0.5376520517890464,-0.8660921180090034,0.740289865262917,-0.74706003820545,-0.7751765417541229,1.8372720218757674,-0.5376520517890464,-0.1394635485414265,-0.5686131002280642,-0.42455230259063165,-0.5634618902454238,0.6544061612301337,-0.517060913327464,-0.5631819468890514,6.5430316025548265,-0.4245523025906316,-0.025704682523392714,-0.7678232208408798,-0.4719065669318718,-0.7703821720826007,0.6773909616640706,-0.7583463413490178,-0.7365718453686747,1.6906727165213895,-0.4719065669318717,0.060689055341549676,-0.6440055982463533,-0.4056113708692499,-0.6450099309296241,0.5899832492589907,-0.6049932131057216,-0.6161147316892541,1.3941788771002217,-0.4056113708692501,-0.004698805634072915,-0.8187135423736844,-0.49151313778287975,-0.8463942537217165,0.7533116526062635,-0.7537638412986786,-0.7888632766112514,-0.08763244071108607,-0.4915131377828797,-0.657403336549984,-0.7713075301097911,-0.7743240856587043,-0.020426612183970367,0.3856329682273041,-0.8528869480393568,-0.7639099009869701,-1.2167496364383128,-0.6332401172246698,-0.5607626515581916,-0.513972243009004,-0.7742470221298993,-0.6888846499763293,still,Still_1-2026-03-04_16-41-47,4,4.1140380859375,6.025088134765625
-0.018216370216879947,-0.6724807399755238,-0.3439599678255938,-0.6768468442516675,0.7550345319168303,-0.565068801665059,-0.6721436571743769,1.1232178180981032,-0.34395996782559374,-0.05003840844505672,-0.8752883910653503,-0.5376568366332648,-0.8675969771457454,0.7413640165612111,-0.7497161406720699,-0.7771958563425974,1.8372720218757674,-0.5376568366332648,-0.1390053060923878,-0.5686237409894618,-0.4245523100150277,-0.5634990770319244,0.6544061612301337,-0.517060913327464,-0.5631819468890514,-0.7783189116451151,-0.4245523100150277,-0.028748122960835107,-0.7679397844792083,-0.47190673920749965,-0.770425766048385,0.6755037834752289,-0.7583463413490178,-0.7355918695988508,-0.6141710794612538,-0.4719067392074996,0.06068905534154958,-0.6440887363102655,-0.4056114608237406,-0.6450914373195624,0.5899832492589907,-0.6049932131057216,-0.6161147316892541,2.5426588200694167,-0.4056114608237407,-0.007614400142644163,-0.8184562518927362,-0.49151269828287114,-0.8460944363283355,0.7523348230835115,-0.7551070631971258,-0.7890363420176432,-0.4260002868787969,-0.49151269828287114,-0.6575156477804964,-0.7713378339457169,-0.6154893538386502,0.2226150078842705,-0.11733140039208143,-1.1160674857222461,-0.8462295256647926,-1.3419122549182674,-0.6333525447755938,-0.5607380792119248,-0.513972243009004,-0.774273653609868,-0.6886275264465588,still,Still_1-2026-03-04_16-41-47,5,5.07921533203125,6.990263671875
-0.01901656711877836,-0.6716158427959233,-0.34395760124477914,-0.6759888090393473,0.7550345319168303,-0.564909680244062,-0.672042976239741,2.203138540347426,-0.34395760124477914,-0.054382015215197504,-0.8720654618285955,-0.5376456694896643,-0.8663521121689252,0.7370046334123305,-0.7458219699104042,-0.7729184256824194,2.356545536547307,-0.5376456694896643,-0.14428394478007694,-0.568636840232623,-0.42455231905510965,-0.5630882979265558,0.6540605507312953,-0.5170787161968784,-0.5630894577091382,4.3896932160254325,-0.4245523190551096,-0.028200303748449704,-0.7678246511237397,-0.4719065690945311,-0.7703357774110121,0.6755037834752289,-0.7583463413490178,-0.7355918695988508,1.229703957324861,-0.4719065690945311,0.06134615850080609,-0.6442264794524857,-0.405611601152746,-0.6452210819765494,0.5899832492589907,-0.6049932131057216,-0.6161147316892541,3.88255208686681,-0.4056116011527462,-0.007988699429190659,-0.8183876620425381,-0.4915125745590356,-0.8459961042001158,0.7523348230835115,-0.7551070631971258,-0.7890363420176432,1.1530496619038535,-0.4915125745590356,-0.6568426824398905,-0.7713656124505118,0.509470929822587,-0.259056999057731,0.3510330520010964,-0.6931422071010046,-1.8044520546327836,-1.3807098530349409,-0.6327669184873168,-0.5607133093752169,-0.513972243009004,-0.7742633346105765,-0.6885870596933373,still,Still_1-2026-03-04_16-41-47,6,6.0443916015625,7.95543798828125
-0.020291301457282654,-0.6723852444813598,-0.3439597238416039,-0.6762729599660695,0.75379724441666,-0.5649488406882723,-0.6715522016896606,-0.7280748486150214,-0.3439597238416039,-0.07059391883020816,-0.8687410713182045,-0.5376275515253293,-0.8634879434360103,0.730426175028613,-0.7466362749158494,-0.7702706791507515,2.356545536547307,-0.5376275515253293,-0.13620303179649837,-0.5681670385857575,-0.42455192606335984,-0.5636435546427789,0.6537310703037822,-0.5164411893042283,-0.5625401455104326,-0.7783189116451151,-0.42455192606335984,-0.024882953791817385,-0.7675913800477124,-0.4719062003606885,-0.7701508418747829,0.6764473725696498,-0.756656529873135,-0.7352243788252395,2.4589539818489374,-0.4719062003606884,0.05919003856382267,-0.6419981245560188,-0.4056079976671822,-0.6430237726380559,0.5843727851372114,-0.6001225897536347,-0.6107189124313689,1.5855922009284207,-0.4056079976671823,-0.007299200737124032,-0.818749506576988,-0.49151319612132427,-0.8463981132289222,0.7523348230835115,-0.7551070631971258,-0.7890363420176432,2.957678174798311,-0.49151319612132427,-0.6570600121578039,-0.7707216561933681,-0.6845391577850807,-1.7105200652681467,-0.08989838456542165,0.3299208112381727,-1.4092744870521012,-0.7238329311403582,-0.6332616386965284,-0.5601021087988427,-0.513972243009004,-0.7735201693892045,-0.6869765564230854,still,Still_10-2026-03-04_16-49-45,0,0.233476318359375,2.144476318359375
-0.027385017076436032,-0.6727382394459956,-0.34396060429579184,-0.6743764493329623,0.75379724441666,-0.5668853634528014,-0.6727774982000535,0.043297095848780554,-0.34396060429579184,-0.06822411540777347,-0.8682786622870272,-0.5376245004837387,-0.8633157810512376,0.7324124986100784,-0.7442948460821845,-0.7698777754508652,2.1834543649901272,-0.5376245004837387,-0.1146457078235686,-0.5682787506941467,-0.4245520323330007,-0.565328421214818,0.6551061588842672,-0.5160738772283796,-0.5626992442010551,-0.7783189116451151,-0.42455203233300065,-0.026252501956185493,-0.7678232935768282,-0.4719065670418814,-0.7703785731348145,0.6764473725696498,-0.7585877431198762,-0.7362043545016816,2.4589539818489374,-0.47190656704188133,0.058553469901773646,-0.6436008776804915,-0.4056108764568237,-0.6445539096784781,0.5883001098656347,-0.6051736066243253,-0.615357423718171,1.0113522294438233,-0.40561087645682387,-0.008087199265942343,-0.8186287890607031,-0.4915129972998576,-0.8462113872304136,0.7523348230835115,-0.7564502848395815,-0.7897286028516235,3.0704674568542147,-0.49151299729985753,-0.658035495901614,-0.7711560109859901,-1.108725043220354,-0.7928539050572532,0.20661135534439518,-1.4872722186981817,-1.5480398173738137,-0.7651962672869165,-0.6348912251152794,-0.560351953562824,-0.513972243009004,-0.7740341646616679,-0.688594325360996,still,Still_10-2026-03-04_16-49-45,1,1.1986279296875,3.109628662109375
-0.02784967025714641,-0.6727699212185139,-0.34396068044548894,-0.6742386720644675,0.7539504665077283,-0.5668853634528014,-0.6728413427303983,2.0488641514546653,-0.34396068044548894,-0.06471220643887188,-0.8698277869233472,-0.5376342114181153,-0.8649886872359084,0.7324124986100784,-0.7442948460821845,-0.7698777754508652,2.1834543649901272,-0.5376342114181153,-0.10622094085343561,-0.5684543483840881,-0.4245521832051594,-0.5660144729011569,0.6563979878318817,-0.5160738772283796,-0.5630918366202349,-0.7783189116451151,-0.4245521832051594,-0.026252501921384338,-0.7676680585010087,-0.47190632512301073,-0.7702249846282802,0.6764473725696498,-0.7585877431198762,-0.7362043545016816,0.6150789450628226,-0.4719063251230106,0.05723926357543371,-0.643841997506445,-0.40561118230208165,-0.6446861874183123,0.5890481717865562,-0.6051736066243253,-0.6157360777037126,3.3083121153822126,-0.4056111823020818,-0.007575000239480613,-0.8185138882038425,-0.4915128001134411,-0.8461523372911922,0.7523348230835115,-0.7551070631971258,-0.7890363420176432,4.311149559469154,-0.4915128001134411,-0.6589523274794663,-0.7711105552479836,-1.0372605606643397,-0.4800301294597516,0.16757388783091912,-0.029883287316865088,-0.8992586801518576,-0.9170293796175897,-0.6357508616383782,-0.5604739561801168,-0.29825047703436314,-0.7740032414050616,-0.6886413386544955,still,Still_10-2026-03-04_16-49-45,2,2.163779296875,4.0747822265625
